username,repo_name,stars,repo_url
serverless,serverless,43100,https://github.com/serverless/serverless
localstack,localstack,42100,https://github.com/localstack/localstack
bregman-arie,devops-exercises,27900,https://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,23300,https://github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,13100,https://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,12900,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,12600,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,12600,https://github.com/kubernetes-sigs/kubespray
donnemartin,awesome-aws,10500,https://github.com/donnemartin/awesome-aws
mozilla,sops,10300,https://github.com/mozilla/sops
apereo,cas,9600,https://github.com/apereo/cas
aws,chalice,9000,https://github.com/aws/chalice
aws,aws-cdk,9000,https://github.com/aws/aws-cdk
aws-amplify,amplify-js,8800,https://github.com/aws-amplify/amplify-js
caprover,caprover,8800,https://github.com/caprover/caprover
aws,serverless-application-model,8600,https://github.com/aws/serverless-application-model
apex,up,8600,https://github.com/apex/up
google,go-cloud,8500,https://github.com/google/go-cloud
angristan,openvpn-install,8400,https://github.com/angristan/openvpn-install
GoogleCloudPlatform,terraformer,8000,https://github.com/GoogleCloudPlatform/terraformer
aws,aws-sdk-go,7700,https://github.com/aws/aws-sdk-go
serverless-stack,sst,7600,https://github.com/serverless-stack/sst
hashicorp,terraform-provider-aws,7500,https://github.com/hashicorp/terraform-provider-aws
infracost,infracost,7400,https://github.com/infracost/infracost
boto,boto3,7400,https://github.com/boto/boto3
aws,amazon-sagemaker-examples,7100,https://github.com/aws/amazon-sagemaker-examples
aws,aws-sdk-js,7100,https://github.com/aws/aws-sdk-js
awslabs,aws-shell,6600,https://github.com/awslabs/aws-shell
99designs,aws-vault,6500,https://github.com/99designs/aws-vault
gruntwork-io,terratest,6200,https://github.com/gruntwork-io/terratest
